record_index,phase,phase_update,loss,reward,final_correctness,kl,keep_rate,mean_completion_length
116,phase_i_0_500,116,0.000124,0.05266,0.04167,0.0031,0.25,198.8
117,phase_i_0_500,117,0.0001678,0.1367,0.15,0.004194,0.5,197.4
118,phase_i_0_500,118,0.0001138,0.5856,0.625,0.002846,1.0,278.9
119,phase_i_0_500,119,9.44e-05,0.7285,0.6667,0.00236,0.75,277.2
120,phase_i_0_500,120,0.0002032,0.03655,0.05,0.005081,0.5,258.4
121,phase_i_0_500,121,0.0001205,0.04482,0.05,0.003014,0.5,156.2
122,phase_i_0_500,122,0.000171,0.03143,0.03571,0.004273,0.1667,297.4
123,phase_i_0_500,123,0.0002472,0.1008,0.08333,0.006181,0.25,244.4
124,phase_i_0_500,124,0.0001873,0.1212,0.125,0.004682,0.6667,374.7
125,phase_i_0_500,125,0.0002092,0.4323,0.5,0.005229,1.0,204.0
126,phase_i_0_500,126,0.0001742,0.1274,0.125,0.004354,0.25,295.5
127,phase_i_0_500,127,0.0001521,0.1004,0.1,0.003803,0.5,463.3
128,phase_i_0_500,128,0.0001345,0.0,0.0,0.003364,0.0,565.9
129,phase_i_0_500,129,0.0001151,0.0,0.0,0.002878,0.0,368.0
130,phase_i_0_500,130,8.064e-05,0.0,0.0,0.002016,0.0,355.4
131,phase_i_0_500,131,0.0001291,0.0,0.0,0.003228,0.0,391.1
132,phase_i_0_500,132,0.0001472,0.03971,0.04167,0.00368,0.25,312.4
133,phase_i_0_500,133,0.0001795,0.2131,0.25,0.004488,0.75,340.1
134,phase_i_0_500,134,0.0001183,0.0,0.0,0.002958,0.0,261.1
135,phase_i_0_500,135,0.0002486,0.1709,0.25,0.006215,1.0,250.9
136,phase_i_0_500,136,0.0001316,0.5766,0.5833,0.003289,0.75,327.5
137,phase_i_0_500,137,0.000104,0.0,0.0,0.0026,0.0,261.5
138,phase_i_0_500,138,0.0002696,0.04319,0.04167,0.00674,0.25,223.9
139,phase_i_0_500,139,0.000148,0.04398,0.05,0.003701,0.5,194.8
140,phase_i_0_500,140,0.0002702,0.0,0.0,0.006756,0.0,460.9
141,phase_i_0_500,141,0.000142,0.07441,0.1,0.003551,0.5,312.6
142,phase_i_0_500,142,0.0001781,0.2641,0.25,0.004453,0.75,437.4
143,phase_i_0_500,143,0.000224,0.4694,0.3929,0.005598,0.1667,232.9
144,phase_i_0_500,144,0.0003854,0.0,0.0,0.009636,0.0,365.1
145,phase_i_0_500,145,0.0002289,0.05155,0.05,0.005722,0.5,355.6
146,phase_i_0_500,146,0.0001837,0.1623,0.15,0.004594,0.5,486.1
147,phase_i_0_500,147,0.0001699,0.2856,0.2917,0.004249,0.25,250.4
148,phase_i_0_500,148,0.0001962,1.073,0.85,0.004906,0.625,155.8
149,phase_i_0_500,149,0.0002431,0.05644,0.1,0.006076,0.5,327.4
150,phase_i_0_500,150,0.0001418,0.0,0.0,0.003546,0.0,309.4
151,phase_i_0_500,151,0.0001077,0.01516,0.03125,0.002692,0.125,367.0
152,phase_i_0_500,152,0.0002367,0.4706,0.5,0.005918,1.0,234.6
153,phase_i_0_500,153,0.0002257,0.03428,0.03571,0.005644,0.1667,333.7
154,phase_i_0_500,154,0.0001694,0.1636,0.15,0.004235,0.5,192.3
155,phase_i_0_500,155,0.0002082,0.2898,0.25,0.005206,1.0,358.0
156,phase_i_0_500,156,0.0001371,0.0,0.0,0.003427,0.0,500.1
157,phase_i_0_500,157,0.0002201,0.08724,0.1,0.005504,0.5,448.9
158,phase_i_0_500,158,0.0002262,0.03202,0.03125,0.005656,0.125,368.8
159,phase_i_0_500,159,0.0001527,0.0,0.0,0.003817,0.0,431.8
160,phase_i_0_500,160,0.0001906,0.06904,0.1,0.004765,0.5,253.7
161,phase_i_0_500,161,0.0001595,0.0,0.0,0.003988,0.0,377.2
162,phase_i_0_500,162,0.0001425,0.2775,0.25,0.003564,0.6667,315.1
163,phase_i_0_500,163,0.0001396,0.05615,0.05,0.00349,0.5,347.8
164,phase_i_0_500,164,0.0001222,0.0,0.0,0.003055,0.0,252.0
165,phase_i_0_500,165,0.0001181,0.0,0.0,0.002952,0.0,326.0
166,phase_i_0_500,166,0.000148,0.601,0.55,0.003698,0.4167,223.4
167,phase_i_0_500,167,0.0002054,0.05233,0.05,0.005133,0.5,274.5
168,phase_i_0_500,168,0.0002239,0.8406,0.75,0.005599,1.0,176.0
169,phase_i_0_500,169,0.0001166,0.491,0.5,0.002914,1.0,463.5
170,phase_i_0_500,170,0.0003965,0.0,0.0,0.009912,0.0,327.7
171,phase_i_0_500,171,0.0001806,0.1784,0.15,0.004514,0.5,293.2
172,phase_i_0_500,172,0.0001213,0.3767,0.375,0.003031,1.0,357.8
173,phase_i_0_500,173,0.0001214,0.04149,0.04167,0.003034,0.25,366.5
174,phase_i_0_500,174,0.0001702,0.1047,0.1,0.004255,0.5,197.2
175,phase_i_0_500,175,9.808e-05,0.9338,0.8125,0.002453,0.6667,183.6
176,phase_i_0_500,176,0.0001268,0.08237,0.1,0.00317,0.5,477.3
177,phase_i_0_500,177,0.000153,0.1609,0.15,0.003826,0.625,376.3
178,phase_i_0_500,178,0.0001766,0.4882,0.4286,0.004413,0.2917,256.1
179,phase_i_0_500,179,0.0001079,0.2212,0.2083,0.002698,0.25,488.0
180,phase_i_0_500,180,0.0001307,0.4301,0.3333,0.003269,0.75,373.4
181,phase_i_0_500,181,0.0001028,0.05537,0.05,0.002571,0.5,566.0
182,phase_i_0_500,182,0.0001649,0.0,0.0,0.004121,0.0,388.9
183,phase_i_0_500,183,0.0001657,0.1321,0.1,0.004142,0.5,293.1
184,phase_i_0_500,184,0.0001428,0.0,0.0,0.003571,0.0,526.4
185,phase_i_0_500,185,0.0001871,0.5728,0.5,0.004676,0.5,298.2
186,phase_i_0_500,186,0.0001621,0.0,0.0,0.004052,0.0,338.7
187,phase_i_0_500,187,0.0003706,0.03287,0.05,0.009265,0.5,309.6
188,phase_i_0_500,188,0.0001159,0.5654,0.4688,0.002897,0.125,272.2
189,phase_i_0_500,189,8.807e-05,0.0,0.0,0.002202,0.0,441.4
190,phase_i_0_500,190,0.0001286,0.08752,0.08333,0.003213,0.25,392.7
191,phase_i_0_500,191,0.0002491,0.05914,0.05,0.006227,0.5,375.7
192,phase_i_0_500,192,0.0002193,0.1165,0.1,0.005482,0.5,392.8
193,phase_i_0_500,193,0.0002148,0.05245,0.05,0.00537,0.5,510.8
194,phase_i_0_500,194,0.0001287,0.08498,0.1,0.003218,0.5,253.0
195,phase_i_0_500,195,0.0001483,0.05407,0.04167,0.003707,0.25,336.7
196,phase_i_0_500,196,0.0002831,0.03378,0.05,0.007078,0.5,462.4
197,phase_i_0_500,197,0.0001344,0.0,0.0,0.00336,0.0,344.5
198,phase_i_0_500,198,0.0001349,0.1077,0.125,0.003373,0.6667,577.9
199,phase_i_0_500,199,0.0001269,0.02912,0.05,0.003173,0.5,340.9
200,phase_i_0_500,200,0.0001358,0.02,0.05,0.003395,0.5,325.9
201,phase_i_0_500,201,0.0001488,0.146,0.15,0.003719,0.5,424.1
202,phase_i_0_500,202,0.0003901,0.6408,0.6875,0.009752,0.6667,173.1
203,phase_i_0_500,203,0.0002562,0.1238,0.125,0.006405,0.6667,277.6
204,phase_i_0_500,204,0.0001661,0.0,0.0,0.004152,0.0,267.8
205,phase_i_0_500,205,0.0001662,0.03,0.04167,0.004155,0.25,350.5
206,phase_i_0_500,206,0.0002576,0.04875,0.04167,0.006441,0.25,180.0
207,phase_i_0_500,207,0.0001122,0.0,0.0,0.002805,0.0,438.9
208,phase_i_0_500,208,0.0001478,0.6778,0.625,0.003694,1.0,314.8
209,phase_i_0_500,209,0.0001266,0.3038,0.25,0.003163,0.6667,269.8
210,phase_i_0_500,210,0.0002784,0.0,0.0,0.006961,0.0,339.6
211,phase_i_0_500,211,0.0002066,0.04747,0.04167,0.005164,0.25,350.5
212,phase_i_0_500,212,0.0001263,0.2099,0.2,0.003157,0.625,365.6
213,phase_i_0_500,213,0.0001658,0.0,0.0,0.004145,0.0,344.4
214,phase_i_0_500,214,0.0002008,0.05537,0.04167,0.005019,0.25,325.9
215,phase_i_0_500,215,0.0001083,0.1013,0.1,0.002708,0.5,476.8
216,phase_i_0_500,216,9.411e-05,0.0,0.0,0.002353,0.0,377.7
217,phase_i_0_500,217,0.000223,0.0,0.0,0.005574,0.0,429.6
218,phase_i_0_500,218,8.052e-05,0.03391,0.04167,0.002013,0.25,540.8
219,phase_i_0_500,219,0.0001718,0.0,0.0,0.004295,0.0,379.6
220,phase_i_0_500,220,0.000375,0.0,0.0,0.009374,0.0,367.7
221,phase_i_0_500,221,0.000201,0.04312,0.04167,0.005025,0.25,351.9
222,phase_i_0_500,222,0.0001616,0.02228,0.05,0.004039,0.5,256.3
223,phase_i_0_500,223,0.0001022,0.0,0.0,0.002555,0.0,395.0
224,phase_i_0_500,224,0.000167,0.2413,0.2,0.004175,0.625,465.3
225,phase_i_0_500,225,0.0001467,0.0,0.0,0.003667,0.0,310.1
226,phase_i_0_500,226,0.0001477,0.04451,0.05,0.003692,0.5,502.2
227,phase_i_0_500,227,0.0001185,0.4556,0.375,0.002963,1.0,256.0
228,phase_i_0_500,228,0.0001444,0.03949,0.05,0.003611,0.5,534.5
229,phase_i_0_500,229,0.0003611,0.0,0.0,0.009027,0.0,325.0
230,phase_i_0_500,230,0.0001431,0.06196,0.05,0.003577,0.5,335.6
231,phase_i_0_500,231,0.0001839,0.05746,0.05,0.004598,0.5,458.4
232,phase_i_0_500,232,0.0001234,0.04258,0.04167,0.003086,0.25,292.3
233,phase_i_0_500,233,0.0001919,0.05394,0.05,0.004798,0.5,299.1
234,phase_i_0_500,234,0.0001221,0.3842,0.375,0.003051,1.0,277.1
235,phase_i_0_500,235,0.0001315,0.0,0.0,0.003288,0.0,426.4
236,phase_i_0_500,236,0.0002428,0.2952,0.25,0.006072,0.25,317.9
237,phase_i_0_500,237,0.0001268,0.04653,0.05,0.003171,0.5,406.9
238,phase_i_0_500,238,0.0001506,0.1022,0.1,0.003765,0.5,216.5
239,phase_i_0_500,239,0.0001443,0.8791,0.8125,0.003608,0.6667,287.1
240,phase_i_0_500,240,0.0001705,0.08522,0.1,0.004261,0.5,334.4
241,phase_i_0_500,241,9.829e-05,0.02826,0.05,0.002457,0.5,539.9
242,phase_i_0_500,242,0.0001911,0.4715,0.3929,0.004778,0.1667,297.4
243,phase_i_0_500,243,0.0001615,0.3616,0.5,0.004037,1.0,376.2
244,phase_i_0_500,244,0.000538,0.0,0.0,0.01345,0.0,137.8
245,phase_i_0_500,245,0.0001497,0.177,0.15,0.003742,0.5,348.4
246,phase_i_0_500,246,0.0002795,0.1686,0.1667,0.006986,0.75,307.0
247,phase_i_0_500,247,0.0001795,0.1018,0.1,0.004489,0.5,384.2
248,phase_i_0_500,248,0.0001753,0.0,0.0,0.004383,0.0,477.4
249,phase_i_0_500,249,0.0001073,0.05293,0.05,0.002682,0.5,378.9
250,phase_i_0_500,250,0.0003061,0.1146,0.1,0.007651,0.5,375.1
251,phase_i_0_500,251,0.000183,0.3896,0.2917,0.004575,0.25,257.7
252,phase_i_0_500,252,0.0002598,0.5483,0.5,0.006495,1.0,179.2
253,phase_i_0_500,253,0.0002124,0.02821,0.03125,0.005311,0.125,396.1
254,phase_i_0_500,254,0.0001668,0.1172,0.1,0.004169,0.5,366.4
255,phase_i_0_500,255,0.0002866,0.1772,0.15,0.007164,0.5,469.1
256,phase_i_0_500,256,0.0002415,0.5126,0.5,0.006038,1.0,322.4
257,phase_i_0_500,257,0.00018,0.0,0.0,0.004501,0.0,336.8
258,phase_i_0_500,258,0.0001248,0.3468,0.3333,0.003121,0.75,222.2
259,phase_i_0_500,259,0.0001673,0.1291,0.15,0.004181,0.5,399.2
260,phase_i_0_500,260,0.0001113,0.0,0.0,0.002783,0.0,262.8
261,phase_i_0_500,261,0.0001412,0.05776,0.1,0.00353,0.5,370.0
262,phase_i_0_500,262,0.0001606,0.04763,0.08333,0.004016,0.25,364.5
263,phase_i_0_500,263,0.0002275,0.7986,0.75,0.005688,1.0,282.0
264,phase_i_0_500,264,0.0002736,0.384,0.3929,0.006839,0.1667,380.5
265,phase_i_0_500,265,0.0001445,0.0,0.0,0.003613,0.0,356.6
266,phase_i_0_500,266,0.0001729,0.1517,0.15,0.004323,0.625,313.6
267,phase_i_0_500,267,0.0001786,0.0,0.0,0.004464,0.0,372.5
268,phase_i_0_500,268,0.0002506,0.1074,0.08333,0.006267,0.25,224.5
269,phase_i_0_500,269,0.000103,0.03822,0.03125,0.002574,0.125,354.8
270,phase_i_0_500,270,0.0002617,0.634,0.625,0.006544,1.0,246.5
271,phase_i_0_500,271,0.000131,0.0,0.0,0.003275,0.0,271.9
272,phase_i_0_500,272,0.0001926,0.03631,0.03571,0.004816,0.1667,419.6
273,phase_i_0_500,273,0.0002744,0.1111,0.1,0.00686,0.5,215.3
274,phase_i_0_500,274,0.0001218,0.0,0.0,0.003046,0.0,524.6
275,phase_i_0_500,275,0.0002996,0.4103,0.375,0.00749,1.0,283.4
276,phase_i_0_500,276,0.0002021,0.0,0.0,0.005053,0.0,344.7
277,phase_i_0_500,277,0.0001164,0.05742,0.05,0.002909,0.5,378.4
278,phase_i_0_500,278,0.00023,0.5789,0.5833,0.005749,0.75,193.2
279,phase_i_0_500,279,0.0001637,0.1072,0.1,0.004093,0.5,320.4
280,phase_i_0_500,280,0.0002421,0.1191,0.1,0.006053,0.5,253.3
281,phase_i_0_500,281,0.0003968,0.4803,0.5,0.009921,1.0,360.1
282,phase_i_0_500,282,0.0001695,0.05415,0.05,0.004237,0.5,401.7
283,phase_i_0_500,283,0.0001265,0.1213,0.15,0.003161,0.5,373.9
284,phase_i_0_500,284,0.0003302,0.1606,0.15,0.008257,0.5,165.7
285,phase_i_0_500,285,0.0001856,0.0,0.0,0.004641,0.0,417.0
286,phase_i_0_500,286,0.0003119,0.0,0.0,0.007797,0.0,392.1
287,phase_i_0_500,287,0.0001547,0.3775,0.375,0.003867,1.0,256.4
288,phase_i_0_500,288,0.000167,0.1092,0.1,0.004175,0.5,569.5
289,phase_i_0_500,289,0.0001539,0.044,0.05,0.003846,0.5,353.8
290,phase_i_0_500,290,0.0001004,0.0,0.0,0.002511,0.0,545.5
291,phase_i_0_500,291,0.000103,0.01429,0.03571,0.002574,0.1667,336.7
292,phase_i_0_500,292,0.0001653,0.558,0.5625,0.004131,0.5,243.4
293,phase_i_0_500,293,0.000197,0.05887,0.05,0.004926,0.5,257.7
294,phase_i_0_500,294,0.0001367,0.1615,0.15,0.003418,0.5,288.4
295,phase_i_0_500,295,0.0002957,0.0,0.0,0.007393,0.0,306.8
296,phase_i_0_500,296,0.0003258,0.0,0.0,0.008146,0.0,319.8
297,phase_i_0_500,297,9.476e-05,0.06973,0.07143,0.00237,0.1667,361.2
298,phase_i_0_500,298,0.0001249,0.1624,0.15,0.003123,0.5,383.6
299,phase_i_0_500,299,0.0003892,0.3705,0.3333,0.009732,0.75,288.1
300,phase_i_0_500,300,0.0001784,0.1862,0.1667,0.004461,0.375,276.1
301,phase_i_0_500,301,0.0001039,0.1532,0.15,0.002599,0.5,544.0
302,phase_i_0_500,302,0.0001642,0.0,0.0,0.004106,0.0,460.9
303,phase_i_0_500,303,0.0002231,0.7468,0.75,0.005578,1.0,239.0
304,phase_i_0_500,304,0.0001513,0.1308,0.1,0.003783,0.5,401.0
305,phase_i_0_500,305,0.0001288,0.08468,0.1,0.003219,0.5,284.4
306,phase_i_0_500,306,0.0001661,0.0365,0.05,0.004154,0.5,301.6
307,phase_i_0_500,307,0.0002034,0.3723,0.4167,0.005086,0.75,439.9
308,phase_i_0_500,308,0.0002021,0.7164,0.75,0.005051,1.0,209.2
309,phase_i_0_500,309,0.0001648,0.8074,0.6667,0.004118,0.75,356.7
310,phase_i_0_500,310,0.0001121,0.3549,0.375,0.002803,1.0,288.2
311,phase_i_0_500,311,0.0001198,0.235,0.25,0.002995,0.5,353.1
312,phase_i_0_500,312,0.000173,0.4538,0.3333,0.004323,0.75,298.0
313,phase_i_0_500,313,0.0001629,0.05943,0.05,0.004072,0.5,330.4
314,phase_i_0_500,314,0.0001191,0.1016,0.08333,0.002976,0.25,553.0
315,phase_i_0_500,315,0.000143,0.04762,0.05,0.003574,0.5,194.3
316,phase_i_0_500,316,0.0001653,0.3475,0.3333,0.004134,0.75,373.2
317,phase_i_0_500,317,9.076e-05,0.0,0.0,0.002269,0.0,358.0
318,phase_i_0_500,318,0.0001127,0.09105,0.1,0.002819,0.5,283.1
319,phase_i_0_500,319,0.00014,0.0,0.0,0.003499,0.0,371.7
320,phase_i_0_500,320,0.000132,0.0,0.0,0.003299,0.0,422.4
321,phase_i_0_500,321,0.0001309,0.1674,0.15,0.003273,0.5,345.2
322,phase_i_0_500,322,0.0001468,0.05921,0.05,0.003669,0.5,203.8
323,phase_i_0_500,323,0.0002094,1.156,0.95,0.00524,0.5,172.7
324,phase_i_0_500,324,0.0001501,0.2456,0.25,0.003753,0.6667,552.2
325,phase_i_0_500,325,0.0002838,0.02808,0.03571,0.007094,0.1667,377.4
326,phase_i_0_500,326,0.0001804,0.0,0.0,0.004509,0.0,460.1
327,phase_i_0_500,327,0.0001853,0.7871,0.6667,0.004633,0.75,326.6
328,phase_i_0_500,328,0.0005534,0.7558,0.6875,0.01384,0.6667,255.8
329,phase_i_0_500,329,0.0003972,0.2012,0.25,0.009931,0.75,371.4
330,phase_i_0_500,330,0.000325,0.1723,0.15,0.008124,0.5,161.8
331,phase_i_0_500,331,0.0002249,0.05874,0.05,0.005623,0.5,150.3
332,phase_i_0_500,332,0.0001217,0.0,0.0,0.003041,0.0,442.8
333,phase_i_0_500,333,7.644e-05,0.0641,0.05,0.00191,0.5,401.9
334,phase_i_0_500,334,0.0001303,0.0,0.0,0.003259,0.0,351.8
335,phase_i_0_500,335,0.0001707,0.5809,0.5833,0.004268,0.75,335.8
336,phase_i_0_500,336,7.914e-05,0.0,0.0,0.001978,0.0,448.9
337,phase_i_0_500,337,0.0001071,0.0,0.0,0.002678,0.0,322.8
